,Refractive Index,Sodium,Magnesium,Aluminum,Silicon,Potassium,Calcium,Barium,Iron,Type of Glass
98,1.51689,12.67,2.88,1.71,73.21,0.73,8.54,0.0,0.0,2
100,1.51655,12.75,2.85,1.44,73.27,0.57,8.79,0.11,0.22,2
102,1.5182,12.62,2.76,0.83,73.81,0.35,9.42,0.0,0.2,2
103,1.52725,13.8,3.15,0.66,70.57,0.08,11.64,0.0,0.0,2
104,1.5241,13.83,2.9,1.17,71.15,0.08,10.79,0.0,0.0,2
106,1.53125,10.73,0.0,2.1,69.81,0.58,13.3,3.15,0.28,2
107,1.53393,12.3,0.0,1.0,70.16,0.12,16.19,0.0,0.24,2
109,1.51818,13.72,0.0,0.56,74.45,0.0,10.99,0.0,0.0,2
111,1.52739,11.02,0.0,0.75,73.08,0.0,14.96,0.0,0.0,2
113,1.51892,13.46,3.83,1.26,72.55,0.57,8.21,0.0,0.14,2
114,1.51847,13.1,3.97,1.19,72.44,0.6,8.43,0.0,0.0,2
115,1.51846,13.41,3.89,1.33,72.38,0.51,8.28,0.0,0.0,2
116,1.51829,13.24,3.9,1.41,72.33,0.55,8.31,0.0,0.1,2
118,1.51673,13.3,3.64,1.53,72.53,0.65,8.03,0.0,0.29,2
119,1.51652,13.56,3.57,1.47,72.45,0.64,7.96,0.0,0.0,2
121,1.51663,12.93,3.54,1.62,72.96,0.64,8.03,0.0,0.21,2
122,1.51687,13.23,3.54,1.48,72.84,0.56,8.1,0.0,0.0,2
123,1.51707,13.48,3.48,1.71,72.52,0.62,7.99,0.0,0.0,2
124,1.52177,13.2,3.68,1.15,72.75,0.54,8.52,0.0,0.0,2
126,1.51667,12.94,3.61,1.26,72.75,0.56,8.6,0.0,0.0,2
127,1.52081,13.78,2.28,1.43,71.99,0.49,9.85,0.0,0.17,2
130,1.52177,13.75,1.01,1.36,72.19,0.33,11.14,0.0,0.0,2
131,1.52614,13.7,0.0,1.36,71.24,0.19,13.44,0.0,0.1,2
132,1.51813,13.43,3.98,1.18,72.49,0.58,8.15,0.0,0.0,2
134,1.51811,13.33,3.85,1.25,72.78,0.52,8.12,0.0,0.0,2
135,1.51789,13.19,3.9,1.3,72.33,0.55,8.44,0.0,0.28,2
136,1.51806,13.0,3.8,1.08,73.07,0.56,8.38,0.0,0.12,2
137,1.51711,12.89,3.62,1.57,72.96,0.61,8.11,0.0,0.0,2
138,1.51674,12.79,3.52,1.54,73.36,0.66,7.9,0.0,0.0,2
139,1.51674,12.87,3.56,1.64,73.14,0.65,7.99,0.0,0.0,2
141,1.51851,13.2,3.63,1.07,72.83,0.57,8.41,0.09,0.17,2
142,1.51662,12.85,3.51,1.44,73.01,0.68,8.23,0.06,0.25,2
144,1.5166,12.99,3.18,1.23,72.97,0.58,8.81,0.0,0.24,2
146,1.51769,13.65,3.66,1.11,72.77,0.11,8.6,0.0,0.0,3
147,1.5161,13.33,3.53,1.34,72.67,0.56,8.33,0.0,0.0,3
150,1.51665,13.14,3.45,1.76,72.48,0.6,8.38,0.0,0.17,3
151,1.52127,14.32,3.9,0.83,71.5,0.0,9.49,0.0,0.0,3
152,1.51779,13.64,3.65,0.65,73.0,0.06,8.93,0.0,0.0,3
153,1.5161,13.42,3.4,1.22,72.69,0.59,8.32,0.0,0.0,3
154,1.51694,12.86,3.58,1.31,72.61,0.61,8.79,0.0,0.0,3
156,1.51655,13.41,3.39,1.28,72.64,0.52,8.65,0.0,0.0,3
158,1.51776,13.53,3.41,1.52,72.04,0.58,8.79,0.0,0.0,3
159,1.51796,13.5,3.36,1.63,71.94,0.57,8.81,0.0,0.09,3
161,1.51934,13.64,3.54,0.75,72.65,0.16,8.89,0.15,0.24,3
162,1.52211,14.19,3.78,0.91,71.36,0.23,9.14,0.0,0.37,3
186,1.51838,14.32,3.26,2.22,71.25,1.46,5.79,1.63,0.0,4
188,1.52247,14.86,2.2,2.06,70.26,0.76,9.76,0.0,0.0,4
189,1.52365,15.79,1.83,1.31,70.43,0.31,8.61,1.68,0.0,4
190,1.51613,13.88,1.78,1.79,73.1,0.0,8.67,0.76,0.0,4
191,1.51602,14.85,0.0,2.38,73.28,0.0,8.76,0.64,0.09,4
193,1.51719,14.75,0.0,2.0,73.02,0.0,8.53,1.59,0.08,4
194,1.51683,14.56,0.0,1.98,73.29,0.0,8.52,1.57,0.07,4
196,1.51556,13.87,0.0,2.54,73.23,0.14,9.41,0.81,0.01,4
197,1.51727,14.7,0.0,2.34,73.28,0.0,8.95,0.66,0.0,4
198,1.51531,14.38,0.0,2.66,73.1,0.04,9.08,0.64,0.0,4
200,1.51508,15.15,0.0,2.25,73.5,0.0,8.34,0.63,0.0,4
201,1.51653,11.95,0.0,1.19,75.18,2.7,8.93,0.0,0.0,4
202,1.51514,14.85,0.0,2.42,73.72,0.0,8.39,0.56,0.0,4
204,1.51617,14.95,0.0,2.27,73.3,0.0,8.71,0.67,0.0,4
205,1.51732,14.95,0.0,1.8,72.99,0.0,8.61,1.55,0.0,4
206,1.51645,14.94,0.0,1.87,73.11,0.0,8.67,1.38,0.0,4
209,1.51623,14.14,0.0,2.88,72.61,0.08,9.18,1.06,0.0,4
210,1.51685,14.92,0.0,1.99,73.06,0.0,8.4,1.59,0.0,4
211,1.52065,14.36,0.0,2.02,73.42,0.0,8.44,1.64,0.0,4
212,1.51651,14.38,0.0,1.94,73.61,0.0,8.48,1.57,0.0,4
164,1.51915,12.73,1.85,1.86,72.69,0.6,10.09,0.0,0.0,5
165,1.52171,11.56,1.88,1.56,72.86,0.47,11.41,0.0,0.0,5
166,1.52151,11.03,1.71,1.56,73.44,0.58,11.62,0.0,0.0,5
167,1.51969,12.64,0.0,1.65,73.75,0.38,11.53,0.0,0.0,5
168,1.51666,12.86,0.0,1.83,73.88,0.97,10.17,0.0,0.0,5
169,1.51994,13.27,0.0,1.76,73.03,0.47,11.32,0.0,0.0,5
172,1.51321,13.0,0.0,3.02,70.7,6.21,6.93,0.0,0.0,5
174,1.52058,12.85,1.61,2.17,72.18,0.76,9.7,0.24,0.51,5
175,1.52119,12.97,0.33,1.51,73.39,0.13,11.27,0.0,0.28,5
176,1.51905,14.0,2.39,1.56,72.37,0.0,9.57,0.0,0.0,6
177,1.51937,13.79,2.41,1.19,72.76,0.0,9.77,0.0,0.0,6
178,1.51829,14.46,2.24,1.62,72.38,0.0,9.26,0.0,0.0,6
179,1.51852,14.09,2.19,1.66,72.67,0.0,9.32,0.0,0.0,6
180,1.51299,14.4,1.74,1.54,74.55,0.0,7.59,0.0,0.0,6
181,1.51888,14.99,0.78,1.74,72.5,0.0,9.95,0.0,0.0,6
184,1.51115,17.38,0.0,0.34,75.41,0.0,6.65,0.0,0.0,6
