,var_0000,var_0001,var_0002,var_0003,var_0004,var_0005,var_0006,var_0007,var_0008,var_0009,var_0010,var_0011,var_0012,var_0013,var_0014,var_0015,var_0016,var_0017,var_0018,var_0019,var_0020,var_0021,var_0022,var_0023,var_0024,var_0025,var_0026,var_0027,var_0028,var_0029,var_0030,var_0031,id,outlier
20,1.0,0.49694,1.0,0.45083,1.0,0.461755,1.0,0.446975,1.0,0.444635,1.0,0.302555,1.0,0.42192,0.96062,0.34058,0.932365,0.32733,0.958465,0.27964,0.9803,0.26567,0.90937,0.29814,0.913405,0.288845,0.87892,0.308845,0.90224,0.297125,0.87177,0.274805,21,no
54,0.978295,0.540715,0.987435,0.471665,0.985825,0.45758,0.980485,0.467195,0.973585,0.506395,0.97718,0.416025,0.97306,0.402515,0.99815,0.33866,0.951715,0.32049,0.95714,0.36342,0.9507,0.350965,0.999495,0.296265,0.93622,0.32707,0.960295,0.346905,0.919755,0.304695,0.91083,0.294135,55,no
141,0.97601,0.51127,0.968785,0.49364,0.96763,0.50607,0.983525,0.49133,0.98468,0.5026,0.978325,0.48468,0.9763,0.497975,0.9974,0.486705,0.998845,0.50896,0.96792,0.475145,0.969075,0.48815,0.98526,0.477745,0.981075,0.491765,0.986995,0.50954,0.97717,0.48295,0.97919,0.504045,142,no
44,0.995125,0.471075,0.998965,0.434955,0.993315,0.40285,0.99687,0.370785,0.96369,0.34935,0.963255,0.310175,0.94906,0.28102,0.92461,0.23968,0.937165,0.214625,0.89508,0.200805,0.873625,0.176925,0.84141,0.157605,0.826235,0.13413,0.80505,0.123235,0.77376,0.09861,0.745975,0.083775,45,no
269,0.924215,0.53397,0.90281,0.488505,0.885155,0.483505,0.833625,0.4669,0.79791,0.46167,0.8363,0.471145,0.8213,0.46781,0.695995,0.52265,0.85627,0.50697,0.77985,0.459805,0.76715,0.457735,0.73519,0.38589,0.743295,0.45436,0.763065,0.457315,0.721385,0.451895,0.711115,0.45096,270,no
42,0.95466,0.543955,0.93264,0.58444,1.0,0.58299,0.775935,0.84077,0.851035,0.683595,0.58143,0.713695,0.7881,0.73043,0.755335,0.74809,0.658195,0.564835,0.68912,0.77231,0.65637,0.77913,0.62428,0.782635,0.59313,0.783025,0.563175,0.780505,0.534635,0.775305,0.560685,0.838695,43,no
347,0.975565,0.502095,0.975915,0.486385,0.96719,0.4904,0.97295,0.50803,0.98255,0.516405,0.970855,0.53665,0.973125,0.49337,0.985865,0.5007,0.97417,0.53019,0.96335,0.54206,0.96562,0.550435,0.9726,0.506805,0.96761,0.524625,0.965795,0.54084,0.97033,0.499825,0.957415,0.52356,348,no
327,1.0,1.0,0.6835,0.53079,0.564965,0.963565,0.36207,0.96798,0.342365,0.688425,0.06404,0.68473,0.035715,0.455665,0.30542,0.32882,0.26724,0.08744,0.472905,0.03202,0.62808,0.397785,0.86896,0.27025,0.927355,0.465845,1.0,1.0,0.69335,0.50123,0.58879,0.89895,328,no
267,0.7947,0.195365,0.92715,0.77649,0.90563,0.536425,0.783115,0.581125,0.663905,0.62086,0.751655,0.56126,0.819535,0.59934,0.85927,0.713575,0.771525,0.569535,0.82616,0.639075,0.84437,0.536425,0.75936,0.633265,0.745065,0.638435,0.73108,0.64287,0.71742,0.64662,0.704105,0.64971,268,no
235,0.88148,0.46111,1.0,0.35185,1.0,0.071295,0.9,0.530555,0.72778,0.28611,1.0,0.437095,1.0,0.082405,0.746295,0.50926,0.91111,0.47037,0.991075,0.40031,1.0,0.610185,0.84815,0.367595,0.96074,0.377255,0.894445,0.510185,0.93746,0.364475,1.0,0.214815,236,no
233,0.75233,0.4155,0.85721,0.507565,0.855315,0.51129,0.840325,0.50641,0.673075,0.52797,0.84525,0.521965,0.840505,0.52529,0.835115,0.52846,0.817015,0.47669,0.822515,0.53428,0.815385,0.536905,0.920165,0.590325,0.799675,0.54152,0.69114,0.5338,0.78233,0.54523,0.77316,0.54673,234,no
239,0.809285,0.55425,0.85347,0.465325,0.85179,0.50839,0.871365,0.50112,0.855145,0.57886,0.85794,0.49888,0.89877,0.533,0.918345,0.417225,0.8434,0.4547,0.81264,0.49329,0.80481,0.558725,0.856265,0.45246,0.849225,0.491635,0.816555,0.52405,0.894295,0.474275,0.826065,0.47651,240,no
187,1.0,0.81774,1.0,1.0,0.885615,1.0,0.333335,1.0,0.0,1.0,0.5,1.0,0.0,1.0,0.0,0.5,0.0,0.166665,0.0,0.03732,0.0,0.333335,0.333335,0.0,0.596175,0.0,1.0,0.0,0.5,0.0,1.0,0.166665,188,no
315,0.940425,0.67616,0.841945,0.82564,0.67408,0.89892,0.52916,0.95421,0.35108,0.93245,0.186825,0.84795,0.11447,0.696545,0.070985,0.54204,0.091795,0.379915,0.177105,0.24989,0.30117,0.158315,0.444265,0.122335,0.585205,0.14248,0.703375,0.211755,0.78313,0.316175,0.813825,0.433475,316,no
298,0.941205,0.65317,0.86616,0.78908,0.670545,0.792635,0.528585,1.0,0.45381,0.96059,0.187985,0.85998,0.151165,0.66279,0.09289,0.705975,0.0,0.496125,0.105135,0.294575,0.115495,0.27261,0.21379,0.161975,0.34195,0.09062,0.485105,0.065795,0.62696,0.089365,0.50097,0.09157,299,no
189,1.0,0.534215,1.0,0.571055,1.0,0.61054,1.0,0.4375,1.0,0.697475,1.0,0.744905,1.0,0.79493,0.3125,1.0,1.0,0.5,1.0,0.960005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.625,1.0,1.0,1.0,1.0,190,no
325,0.947815,0.689585,0.836555,0.84719,0.67958,0.94348,0.479035,0.966725,0.305625,0.92207,0.16363,0.81039,0.0866,0.65178,0.06925,0.473175,0.13218,0.328625,0.24111,0.187785,0.38286,0.130725,0.534555,0.13072,0.667655,0.18852,0.76207,0.28957,0.806085,0.413285,0.800365,0.5433,326,no
92,0.85435,0.376085,0.82174,0.52174,0.726085,0.691305,0.826085,0.591305,0.75,0.634785,0.78913,0.384785,0.752175,0.68913,0.69348,0.286955,0.680435,0.369565,0.634785,0.558695,0.76623,0.480775,0.65652,0.43913,0.74965,0.47868,0.74174,0.47776,0.82174,0.373915,0.752175,0.573915,93,no
4,1.0,0.487995,0.9707,0.532655,0.96053,0.383725,0.88576,0.418005,0.76399,0.398625,0.782045,0.49644,0.671975,0.362715,0.7647,0.3911,0.725535,0.410935,0.52991,0.322125,0.511545,0.235605,0.51643,0.17421,0.56645,0.23397,0.512155,0.189015,0.471465,0.202135,0.47696,0.171515,5,no
107,0.997245,0.50263,0.92041,0.443435,0.941185,0.417845,0.995305,0.468715,0.98242,0.46252,0.926105,0.51483,0.935805,0.39576,0.969405,0.435115,0.99149,0.455325,0.94938,0.500375,0.93918,0.47059,0.96684,0.40064,0.937895,0.41097,0.97147,0.417095,0.901265,0.371295,0.88293,0.36103,108,no
350,0.92355,0.567665,0.86819,0.469245,0.939365,0.5413,0.94464,0.454305,0.893675,0.53339,0.90334,0.498245,0.89631,0.49473,0.92882,0.477155,0.93585,0.482425,0.90861,0.45255,0.85501,0.52197,0.932335,0.42443,0.905735,0.47589,0.891035,0.496485,0.878735,0.46661,0.92882,0.469245,351,no
279,0.989525,0.57905,0.95056,0.676185,0.910195,0.742805,0.8588,0.82444,0.794135,0.868715,0.701745,0.91578,0.6257,0.92402,0.5235,0.927375,0.439035,0.898745,0.3691,0.90377,0.310825,0.85838,0.24483,0.79162,0.212065,0.7302,0.190505,0.65398,0.17123,0.591725,0.17933,0.51484,280,no
185,0.920885,0.7173,0.75,0.8808,0.54958,0.9673,0.31118,0.94093,0.138185,0.805905,0.03059,0.597045,0.066455,0.372365,0.185655,0.17194,0.374475,0.07173,0.581225,0.06751,0.757385,0.16561,0.874475,0.355485,0.889685,0.539665,0.820675,0.714135,0.657175,0.812235,0.49789,0.847045,186,no
50,0.92067,0.40819,0.71822,0.514595,0.967105,0.498665,0.939735,0.568975,0.905605,0.491055,0.942795,0.774955,0.95857,0.21257,0.875,0.3524,0.93338,0.39948,1.0,1.0,0.73305,0.41855,0.95033,0.48611,0.96679,0.49421,0.80791,0.33851,0.922315,0.37147,0.966615,0.492875,51,no
221,0.903135,0.565345,0.865305,0.621615,0.823075,0.59519,0.684615,0.727885,0.723965,0.732195,0.625,0.78654,0.62596,0.685575,0.576075,0.759385,0.45096,0.7875,0.48269,0.714425,0.45572,0.72212,0.425285,0.70003,0.4003,0.67488,0.38084,0.647705,0.36683,0.61948,0.38077,0.65577,222,no
139,1.0,0.31081,0.824325,0.64865,0.824325,0.37838,0.93243,0.594595,1.0,0.364865,0.756755,0.5,0.81081,0.472975,0.66216,0.39189,0.859165,0.41167,0.81081,0.527025,0.87838,0.56757,0.675675,0.35135,0.805155,0.389185,0.79239,0.384865,0.864865,0.202705,0.756755,0.37838,140,no
8,0.981775,0.46401,1.0,0.428335,1.0,0.393435,1.0,0.31913,0.96285,0.282155,0.97255,0.29666,0.95196,0.268095,0.991525,0.323715,0.922685,0.1699,0.87673,0.197055,0.848185,0.178875,0.92553,0.1728,0.787885,0.15144,0.627175,0.180405,0.72557,0.136105,0.694475,0.1329,9,no
76,1.0,0.52039,1.0,0.55991,1.0,0.580795,1.0,0.639605,0.993515,0.654445,0.963725,0.688195,0.95559,0.698745,0.909695,0.730295,0.893095,0.73497,0.897,0.78141,0.851655,0.790645,0.835385,0.798615,0.794515,0.80495,0.76976,0.80466,0.72656,0.81818,0.70221,0.81329,77,no
26,1.0,0.45643,1.0,0.413685,0.933175,0.091105,0.974085,0.805265,0.977365,0.29309,0.94243,0.34132,0.939685,0.382835,0.905255,0.1891,0.561225,0.0,0.95142,0.555265,0.811785,0.107265,0.776945,0.08566,0.74068,0.067085,0.70325,0.05163,0.66492,0.03936,0.433295,0.0,27,no
319,0.925065,0.509045,0.961055,0.50728,0.96023,0.5109,0.963825,0.54005,0.937985,0.55685,0.955805,0.5216,0.95369,0.52509,0.936695,0.51421,0.97933,0.5,0.945485,0.535235,0.94215,0.538485,0.918605,0.554265,0.934615,0.54475,0.937985,0.54393,0.92599,0.55067,0.92129,0.55349,320,no
330,0.91312,0.54078,0.89539,0.45922,0.95213,0.491135,0.96454,0.50532,0.90071,0.544325,0.973405,0.496455,0.97163,0.5,0.96631,0.601065,0.975175,0.496455,0.957445,0.503545,0.90248,0.53546,0.955675,0.579785,0.947635,0.540825,0.8883,0.53369,0.962765,0.590425,0.962765,0.5,331,no
245,0.905715,0.51857,0.925715,0.499285,0.895,0.50357,0.897855,0.47857,0.937855,0.5,0.927855,0.46643,0.932145,0.50143,0.914285,0.472855,0.905,0.440715,0.884285,0.457855,0.92143,0.475,0.885,0.465715,0.90799,0.456655,0.912855,0.447855,0.907145,0.475,0.910715,0.424285,246,no
36,1.0,0.502165,1.0,0.493955,1.0,0.4852,1.0,0.46493,0.989195,0.46872,1.0,0.46728,0.986305,0.460415,0.962805,0.431675,0.97092,0.428365,0.997945,0.42876,0.974075,0.432175,0.947345,0.395745,0.945335,0.410455,0.92822,0.40724,0.918885,0.399495,0.919335,0.39617,37,no
97,0.98857,0.595245,0.913415,0.731295,0.858855,0.79366,0.73984,0.92139,0.657045,0.963215,0.551445,0.969725,0.43373,0.92145,0.3399,0.95812,0.239275,0.897625,0.15863,0.74754,0.11296,0.667685,0.07312,0.589245,0.08343,0.49321,0.08817,0.403395,0.163555,0.33169,0.200285,0.2515,98,no
2,1.0,0.483175,1.0,0.502425,1.0,0.43969,0.944825,0.50599,0.86541,0.52673,0.927215,0.504135,0.772955,0.501495,0.918875,0.43178,0.877675,0.4573,0.854435,0.36249,0.716925,0.43969,0.78764,0.2989,0.79492,0.389275,0.7155,0.413175,0.80218,0.3791,0.780225,0.30881,3,no
265,0.958835,0.59099,0.93045,0.677715,0.864365,0.728735,0.802125,0.849325,0.75188,0.87461,0.6805,0.908975,0.57832,0.91779,0.50198,0.92605,0.41805,0.889265,0.32002,0.880965,0.284565,0.826925,0.2343,0.76943,0.19836,0.70486,0.177445,0.63669,0.17145,0.568335,0.17972,0.52697,266,no
303,0.97026,0.492345,0.97085,0.505005,0.97497,0.49264,0.97939,0.4947,0.973205,0.48145,0.985865,0.491165,0.985275,0.480565,0.977325,0.47968,0.97615,0.476445,0.971145,0.489105,0.964075,0.477915,0.960245,0.47762,0.963475,0.470865,0.95171,0.462605,0.959955,0.46378,0.960245,0.4629,304,no
12,1.0,0.41842,1.0,0.449155,0.999995,0.424015,1.0,0.403615,0.970275,0.324245,0.978675,0.351075,0.968595,0.32794,0.97243,0.35947,0.950685,0.283085,0.930215,0.26346,0.914935,0.2439,0.9204,0.264315,0.88112,0.20815,0.828615,0.15603,0.84357,0.177315,0.823635,0.16387,13,no
197,1.0,0.61529,1.0,0.107455,1.0,0.447995,1.0,0.57707,1.0,0.6391,0.9906,0.465695,1.0,0.53305,0.97901,0.40523,0.91792,0.421835,0.987,0.51864,0.99812,0.54621,1.0,0.493735,0.98119,0.477015,0.955825,0.519425,1.0,0.43139,0.982615,0.441415,198,no
179,1.0,0.459085,1.0,0.44337,0.99623,0.35099,1.0,0.334625,0.98331,0.328595,0.92894,0.263675,0.95952,0.25915,0.86542,0.17388,0.840655,0.18228,0.91225,0.10842,0.794145,0.126075,0.835165,0.01852,0.743785,0.071655,0.689705,0.080535,0.620585,0.05577,0.646105,0.051895,180,no
34,1.0,0.420505,0.86157,0.63843,0.917215,0.20806,1.0,0.358965,1.0,0.250685,0.89981,0.437365,0.884185,0.57319,1.0,0.696685,1.0,0.63295,0.98177,0.490545,0.962995,0.04331,1.0,0.574015,1.0,0.44209,1.0,0.444355,1.0,0.76686,1.0,0.21121,35,no
332,0.93789,0.518635,0.949755,0.501715,0.94605,0.50255,0.931675,0.5,0.975155,0.537265,0.935105,0.50497,0.931515,0.505755,0.919255,0.468945,0.92857,0.51242,0.92091,0.508015,0.91743,0.508745,0.897515,0.47826,0.910555,0.510165,0.90994,0.54348,0.903785,0.51154,0.90044,0.512205,333,no
283,0.949175,0.675785,0.836665,0.811165,0.71949,0.971765,0.481785,0.90255,0.38581,0.87667,0.374315,0.74408,0.213115,0.642075,0.16625,0.552955,0.263205,0.469035,0.09472,0.469945,0.334015,0.26204,0.435515,0.2319,0.53579,0.240375,0.621605,0.28261,0.68293,0.349715,0.714025,0.566485,284,no
68,1.0,0.83892,0.906545,0.910105,0.715095,1.0,0.603095,0.902705,0.28064,1.0,0.104325,0.88546,0.0,0.70134,0.30477,0.20683,0.010465,0.28589,0.134585,0.118305,0.311645,0.012545,0.70683,0.0,0.70889,0.03352,0.628865,0.0,0.96785,0.32389,0.99408,0.51723,69,no
342,0.91127,0.46214,0.90231,0.501155,0.93757,0.49393,0.934105,0.46243,0.86416,0.44133,0.92312,0.525145,0.915605,0.463005,0.87399,0.533525,0.89162,0.53179,0.933815,0.48815,0.89422,0.46994,0.872255,0.48815,0.883585,0.486345,0.87023,0.46185,0.85029,0.4789,0.892195,0.50607,343,no
105,0.97245,0.253445,1.0,0.48154,0.99449,0.06474,0.950415,0.83471,1.0,0.44948,1.0,0.437535,1.0,0.424915,1.0,0.411595,1.0,0.397545,1.0,0.38274,1.0,0.367145,1.0,0.35074,1.0,0.33348,1.0,0.315345,1.0,0.2963,1.0,0.276305,106,no
149,0.95187,0.49198,1.0,0.540105,1.0,0.50802,0.96524,0.502675,0.967915,0.49198,1.0,0.5,1.0,0.532085,1.0,0.524065,0.95722,0.52139,0.983955,0.510695,0.99465,0.49198,0.981285,0.52674,0.98487,0.52226,0.938505,0.50535,1.0,0.545455,0.989305,0.532085,150,no
249,1.0,0.75,1.0,0.625,0.625,1.0,0.584255,0.9559,0.43332,0.90227,0.329465,0.803965,0.2809,0.68928,0.281685,0.583545,0.31662,0.50339,0.367615,0.454875,0.41911,0.43518,0.46109,0.43628,0.489555,0.44879,0.505165,0.46482,0.51112,0.47929,0.511245,0.489915,250,no
297,0.965735,0.64641,0.899585,0.77878,0.79976,0.85798,0.631015,0.963255,0.52318,0.98374,0.383815,0.97565,0.22037,0.90509,0.133355,0.811925,0.045025,0.681,0.03873,0.5302,0.03191,0.40081,0.08404,0.26547,0.174175,0.15222,0.293885,0.071375,0.43205,0.030235,0.550035,0.025885,298,no
333,0.987565,0.50355,0.992895,0.50977,1.0,0.50977,0.99645,0.507995,0.978685,0.511545,0.98579,0.51776,1.0,0.51865,0.989345,0.510655,0.992895,0.52842,0.98579,0.52398,0.97247,0.52753,0.992005,0.51776,0.9877,0.532385,0.974245,0.540855,0.99556,0.531085,0.99467,0.549735,334,no
264,0.973155,0.58749,0.95473,0.665715,0.92548,0.7498,0.86839,0.81921,0.796075,0.86919,0.74349,0.91807,0.652295,0.953325,0.589795,0.967145,0.496495,0.965545,0.4056,0.946915,0.334885,0.91246,0.26733,0.88241,0.207185,0.831675,0.160355,0.76282,0.123395,0.71244,0.09395,0.63046,265,no
307,0.756035,1.0,1.0,0.76905,0.85589,0.904165,0.72811,0.732135,0.665405,1.0,0.606245,1.0,0.41292,1.0,0.334595,0.99361,0.19309,1.0,0.23663,0.858495,0.0575,0.73947,0.0,0.675875,0.0,0.547845,0.0,0.416435,0.0,0.28887,0.040485,0.172215,308,no
40,1.0,0.53269,1.0,0.60373,1.0,0.631405,0.965255,0.661065,0.933865,0.695195,0.87737,0.75041,0.897775,0.761605,0.82977,0.80378,0.788095,0.814995,0.739035,0.835675,0.702765,0.8442,0.67192,0.86041,0.63856,0.86193,0.59648,0.85341,0.55686,0.86344,0.53495,0.85722,41,no
345,0.833335,0.49317,0.98702,0.534155,0.74795,0.750685,0.878415,0.498635,0.82582,0.429645,0.70082,0.255465,0.69604,0.793715,0.88388,0.659155,0.89276,0.556695,0.737705,0.275275,1.0,0.503415,0.80328,0.534835,0.84328,0.58544,0.93784,0.538935,0.77664,0.62295,0.56967,0.740435,346,no
243,0.944265,0.508155,0.960035,0.506525,0.96221,0.506795,0.945895,0.448885,0.950515,0.45786,0.9652,0.494835,0.96547,0.45541,0.930125,0.474715,0.947255,0.47988,0.94209,0.43937,0.944535,0.440455,0.9149,0.42931,0.932265,0.44096,0.92768,0.434745,0.91762,0.43774,0.93393,0.438825,244,no
64,1.0,0.292715,1.0,0.880655,0.9353,0.592965,1.0,0.450375,0.96922,0.73995,0.82726,0.4196,1.0,0.504395,0.988065,0.24937,0.900125,0.377515,0.940325,0.404525,1.0,0.43844,0.967965,0.55339,0.96445,0.463755,1.0,0.363065,0.71985,0.599245,0.75691,0.47299,65,no
247,0.74935,0.50909,0.715585,0.45195,0.753245,0.47922,0.75065,0.54805,0.723375,0.52987,0.77922,0.44026,0.75844,0.48182,0.763635,0.47013,0.776625,0.494805,0.742855,0.483115,0.745455,0.494805,0.796105,0.5,0.766075,0.4836,0.715585,0.516885,0.772725,0.472725,0.794805,0.457145,248,no
207,0.73684,0.44737,0.918905,0.50878,0.915775,0.513075,0.842105,0.473685,0.842105,0.5,0.89928,0.52514,0.891575,0.52878,0.921055,0.73684,1.0,0.526315,0.86275,0.538155,0.851505,0.540705,0.710525,0.605265,0.827095,0.54484,0.76316,0.394735,0.80075,0.54767,0.78709,0.548595,208,no
48,0.99083,0.50437,0.990515,0.48091,0.987825,0.471505,0.979735,0.465145,0.99502,0.477465,0.973565,0.44449,0.966845,0.43605,0.971085,0.442085,0.89841,0.404,0.94137,0.413065,0.931285,0.406305,0.942435,0.401555,0.909065,0.39432,0.89273,0.38068,0.884555,0.384525,0.871615,0.38049,49,no
288,0.935555,0.52163,0.89973,0.591485,0.995045,0.64646,0.947275,0.458315,0.94299,0.48986,0.95223,0.36638,0.94705,0.59982,0.94322,0.47679,0.92226,0.495045,0.98941,0.32988,0.89477,0.374495,0.933305,0.454035,0.929835,0.48546,0.89387,0.479495,0.879675,0.60906,0.94119,0.545965,289,no
32,0.94104,0.426805,0.96704,0.444715,0.9605,0.41775,0.941535,0.41482,0.94231,0.340955,0.926345,0.342685,0.91058,0.32038,0.903405,0.33184,0.876215,0.26489,0.852775,0.264235,0.83075,0.249575,0.806485,0.25957,0.78402,0.226855,0.750895,0.20073,0.735375,0.213115,0.710945,0.20957,33,no
318,0.87395,0.5042,0.91656,0.508295,0.91319,0.512345,0.932775,0.508405,0.80252,0.52941,0.895465,0.523655,0.887205,0.527035,0.82353,0.59664,0.92017,0.52101,0.856425,0.53561,0.844475,0.537885,0.831935,0.542015,0.81864,0.54148,0.806725,0.508405,0.790935,0.543785,0.77665,0.544455,319,no
344,0.88023,0.50546,0.931675,0.50129,0.929105,0.50192,0.89994,0.51152,0.90752,0.56034,0.91548,0.50372,0.909075,0.50427,0.913885,0.46513,0.882655,0.519405,0.884895,0.50574,0.875355,0.50616,0.88569,0.498485,0.85443,0.506875,0.830805,0.504245,0.83149,0.50742,0.819435,0.507625,345,no
346,0.91754,0.54149,0.868695,0.42647,0.921745,0.472165,0.952205,0.47689,0.946955,0.56565,0.905985,0.533615,0.896535,0.455355,1.0,0.489495,0.983195,0.53309,0.938025,0.505775,0.887605,0.53309,0.97689,0.47899,0.917395,0.500615,1.0,0.564075,0.9333,0.44643,0.95273,0.478465,347,no
126,0.7992,0.70166,0.914045,0.902605,0.880005,0.853545,0.92005,0.44508,0.986555,0.539905,0.97912,0.071365,0.95981,0.94222,0.97726,0.47397,0.943365,0.590675,0.99242,0.15203,0.93335,0.071225,0.64302,0.349685,1.0,0.58538,0.81479,0.713385,0.938785,0.905035,0.909895,0.84411,127,yes
184,0.0,0.0,0.24653,1.0,1.0,0.0,1.0,0.769095,0.5,0.5,0.61979,0.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0.14236,1.0,0.666665,0.0,1.0,0.0,0.84896,0.0,0.737845,1.0,185,yes
220,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,221,yes
31,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.4908,1.0,0.0,1.0,1.0,1.0,0.072085,1.0,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,0.104295,1.0,1.0,1.0,1.0,32,yes
246,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1.0,1.0,0.77586,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,247,yes
102,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,103,yes
206,0.0,1.0,0.0,0.57622,0.64177,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.38262,0.641505,0.0,1.0,1.0,0.34299,0.0,0.0,0.0,1.0,0.0,0.0,0.48211,1.0,0.0,0.0,0.338415,0.574695,1.0,207,yes
234,0.843645,1.0,0.959865,0.119565,0.908865,0.52174,0.880435,0.55351,0.933945,0.86873,0.850335,0.591135,0.8796,0.56856,0.96739,0.37458,0.85368,0.593645,0.824415,0.62291,0.801005,0.887125,1.0,0.23077,0.94631,0.61108,0.85535,0.76923,1.0,0.46739,0.78261,0.619565,235,yes
106,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.810975,1.0,0.5,0.5,0.5,0.5,0.682925,0.140245,0.78049,0.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.55488,0.5,0.5,0.5,0.5,0.5,0.5,107,yes
23,0.0,1.0,0.5,0.5,0.5,0.5,0.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,1.0,0.0,0.0,1.0,1.0,1.0,0.5,0.5,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.5,0.5,24,yes
13,1.0,0.066495,1.0,0.6114,0.92746,0.30052,1.0,0.43955,1.0,0.675735,1.0,0.53886,1.0,0.426165,1.0,0.0,1.0,0.0,0.809155,0.579015,1.0,0.811745,1.0,0.41494,1.0,0.67962,1.0,0.16753,1.0,0.94214,1.0,0.40587,14,yes
